Group,Id,Parameter,Mean(ns),StdErr(ns)
bulletproofs,range_prove,batch=2_bits=8,3240000,0
bulletproofs,range_verify,batch=2_bits=8,520000,0
bulletproofs,range_prove,batch=4_bits=8,6250000,0
bulletproofs,range_verify,batch=4_bits=8,890000,0
bulletproofs,range_prove,batch=8_bits=8,11660000,0
bulletproofs,range_verify,batch=8_bits=8,1400000,0
bulletproofs,range_prove,batch=16_bits=8,22320000,0
bulletproofs,range_verify,batch=16_bits=8,2480000,0
bulletproofs,range_prove,batch=32_bits=8,45500000,0
bulletproofs,range_verify,batch=32_bits=8,4440000,0
bulletproofs,range_prove,batch=64_bits=8,91640000,0
bulletproofs,range_verify,batch=64_bits=8,7170000,0
bulletproofs,range_prove,batch=128_bits=8,171310000,0
bulletproofs,range_verify,batch=128_bits=8,12730000,0
bulletproofs,range_prove,batch=256_bits=8,339230000,0
bulletproofs,range_verify,batch=256_bits=8,23930000,0
bulletproofs,range_prove,batch=512_bits=8,664350000,0
bulletproofs,range_verify,batch=512_bits=8,46060000,0
bulletproofs,range_prove,batch=1024_bits=8,1346500000,0
bulletproofs,range_verify,batch=1024_bits=8,90550000,0
bulletproofs,range_prove,batch=2048_bits=8,2653500000,0
bulletproofs,range_verify,batch=2048_bits=8,180760000,0
bulletproofs,range_prove,batch=2_bits=16,5460000,0
bulletproofs,range_verify,batch=2_bits=16,820000,0
bulletproofs,range_prove,batch=4_bits=16,11040000,0
bulletproofs,range_verify,batch=4_bits=16,1370000,0
bulletproofs,range_prove,batch=8_bits=16,21230000,0
bulletproofs,range_verify,batch=8_bits=16,2420000,0
bulletproofs,range_prove,batch=16_bits=16,40630000,0
bulletproofs,range_verify,batch=16_bits=16,4030000,0
bulletproofs,range_prove,batch=32_bits=16,83000000,0
bulletproofs,range_verify,batch=32_bits=16,6980000,0
bulletproofs,range_prove,batch=64_bits=16,159720000,0
bulletproofs,range_verify,batch=64_bits=16,12120000,0
bulletproofs,range_prove,batch=128_bits=16,306540000,0
bulletproofs,range_verify,batch=128_bits=16,22530000,0
bulletproofs,range_prove,batch=256_bits=16,600510000,0
bulletproofs,range_verify,batch=256_bits=16,43830000,0
bulletproofs,range_prove,batch=512_bits=16,1197000000,0
bulletproofs,range_verify,batch=512_bits=16,88540000,0
bulletproofs,range_prove,batch=1024_bits=16,2369100000,0
bulletproofs,range_verify,batch=1024_bits=16,171480000,0
bulletproofs,range_prove,batch=2048_bits=16,4763800000,0
bulletproofs,range_verify,batch=2048_bits=16,349290000,0
bulletproofs,range_prove,batch=2_bits=32,9950000,0
bulletproofs,range_verify,batch=2_bits=32,1420000,0
bulletproofs,range_prove,batch=4_bits=32,19910000,0
bulletproofs,range_verify,batch=4_bits=32,2300000,0
bulletproofs,range_prove,batch=8_bits=32,40130000,0
bulletproofs,range_verify,batch=8_bits=32,3960000,0
bulletproofs,range_prove,batch=16_bits=32,76140000,0
bulletproofs,range_verify,batch=16_bits=32,6690000,0
bulletproofs,range_prove,batch=32_bits=32,149450000,0
bulletproofs,range_verify,batch=32_bits=32,11950000,0
bulletproofs,range_prove,batch=64_bits=32,288810000,0
bulletproofs,range_verify,batch=64_bits=32,22400000,0
bulletproofs,range_prove,batch=128_bits=32,572050000,0
bulletproofs,range_verify,batch=128_bits=32,42260000,0
bulletproofs,range_prove,batch=256_bits=32,1135900000,0
bulletproofs,range_verify,batch=256_bits=32,83230000,0
bulletproofs,range_prove,batch=512_bits=32,2240800000,0
bulletproofs,range_verify,batch=512_bits=32,167070000,0
bulletproofs,range_prove,batch=1024_bits=32,4527100000,0
bulletproofs,range_verify,batch=1024_bits=32,328030000,0
bulletproofs,range_prove,batch=2048_bits=32,8911400000,0
bulletproofs,range_verify,batch=2048_bits=32,663670000,0
bulletproofs,range_prove,batch=2_bits=64,19590000,0
bulletproofs,range_verify,batch=2_bits=64,2420000,0
bulletproofs,range_prove,batch=4_bits=64,37800000,0
bulletproofs,range_verify,batch=4_bits=64,3890000,0
bulletproofs,range_prove,batch=8_bits=64,74050000,0
bulletproofs,range_verify,batch=8_bits=64,6670000,0
bulletproofs,range_prove,batch=16_bits=64,143140000,0
bulletproofs,range_verify,batch=16_bits=64,11620000,0
bulletproofs,range_prove,batch=32_bits=64,288070000,0
bulletproofs,range_verify,batch=32_bits=64,21730000,0
bulletproofs,range_prove,batch=64_bits=64,549630000,0
bulletproofs,range_verify,batch=64_bits=64,42650000,0
bulletproofs,range_prove,batch=128_bits=64,1100300000,0
bulletproofs,range_verify,batch=128_bits=64,84910000,0
bulletproofs,range_prove,batch=256_bits=64,2208400000,0
bulletproofs,range_verify,batch=256_bits=64,163010000,0
bulletproofs,range_prove,batch=512_bits=64,4351900000,0
bulletproofs,range_verify,batch=512_bits=64,329060000,0
bulletproofs,range_prove,batch=1024_bits=64,8576100000,0
bulletproofs,range_verify,batch=1024_bits=64,650010000,0
bulletproofs,range_prove,batch=2048_bits=64,17469000000,0
bulletproofs,range_verify,batch=2048_bits=64,1307600000,0
