Group,Id,Parameter,Mean(ns),StdErr(ns)
dekart-rs_bls12-381,verify,ell=64_n=15,2531900,7479.1
dekart-rs_bls12-381,verify,ell=16_n=1,2010200,7858.8
dekart-rs_bls12-381,verify,ell=16_n=7,2054300,40062
dekart-rs_bls12-381,verify,ell=64_n=255,2590500,37031
dekart-rs_bls12-381,verify,ell=32_n=2047,2331900,5828.9
dekart-rs_bls12-381,verify,ell=32_n=15,2284700,5089
dekart-rs_bls12-381,verify,ell=16_n=2047,2041600,3679.6
dekart-rs_bls12-381,verify,ell=32_n=127,2348900,52473
dekart-rs_bls12-381,verify,ell=8_n=7,1869800,4557.9
dekart-rs_bls12-381,verify,ell=32_n=63,2272800,6224.1
dekart-rs_bls12-381,verify,ell=16_n=127,2012500,7012.5
dekart-rs_bls12-381,verify,ell=32_n=31,2295900,8362.4
dekart-rs_bls12-381,verify,ell=16_n=511,2063400,4463.5
dekart-rs_bls12-381,verify,ell=8_n=1,1909800,25647
dekart-rs_bls12-381,verify,ell=32_n=511,2301800,4916.3
dekart-rs_bls12-381,verify,ell=32_n=3,2273200,17108
dekart-rs_bls12-381,verify,ell=8_n=255,1894700,5701.5
dekart-rs_bls12-381,verify,ell=64_n=1023,2628700,28531
dekart-rs_bls12-381,verify,ell=64_n=7,2541400,4287.9
dekart-rs_bls12-381,verify,ell=64_n=31,2556100,7428.7
dekart-rs_bls12-381,verify,ell=64_n=63,2536000,7640.2
dekart-rs_bls12-381,verify,ell=8_n=2047,2100200,137500
dekart-rs_bls12-381,verify,ell=64_n=1,2546000,12847
dekart-rs_bls12-381,verify,ell=64_n=511,2575000,6767.7
dekart-rs_bls12-381,verify,ell=8_n=1023,1954300,5592.2
dekart-rs_bls12-381,verify,ell=64_n=127,2557700,8948.3
dekart-rs_bls12-381,verify,ell=16_n=3,2014500,7087.9
dekart-rs_bls12-381,verify,ell=64_n=2047,2602200,6316
dekart-rs_bls12-381,verify,ell=8_n=63,1892800,4735.7
dekart-rs_bls12-381,verify,ell=16_n=15,2055400,46533
dekart-rs_bls12-381,verify,ell=8_n=31,1969500,41033
dekart-rs_bls12-381,verify,ell=8_n=511,1947400,5793.3
dekart-rs_bls12-381,verify,ell=16_n=1023,2045000,3534
dekart-rs_bls12-381,verify,ell=8_n=3,1885000,6967.3
dekart-rs_bls12-381,verify,ell=32_n=1023,2329300,6017.2
dekart-rs_bls12-381,verify,ell=16_n=63,2014800,7039.9
dekart-rs_bls12-381,verify,ell=16_n=31,2025700,32114
dekart-rs_bls12-381,verify,ell=8_n=15,1893200,7546.6
dekart-rs_bls12-381,verify,ell=8_n=127,1945500,23785
dekart-rs_bls12-381,verify,ell=64_n=3,2513800,9783.7
dekart-rs_bls12-381,verify,ell=32_n=7,2260700,5020.6
dekart-rs_bls12-381,verify,ell=32_n=255,2321900,3638.7
dekart-rs_bls12-381,verify,ell=16_n=255,2035400,4353.7
dekart-rs_bls12-381,verify,ell=32_n=1,2252200,5085.1
dekart-rs_bls12-381,prove,ell=16_n=1023_proof_size=1665,46021000,116090
dekart-rs_bls12-381,prove,ell=16_n=2047_proof_size=1665,81469000,230740
